Column 1,Column 2,Column 3
130,4,7 0 1 0 2 0 1 1 2 1 4 1 5 1 3 0 6 1
125,4,7 1 1 0 2 0 1 1 2 1 4 1 5 1 3 0 6 1
65,4,7 0 1 0 2 0 1 1 2 1 4 1 5 1 3 1 6 1
190,4,7 1 1 0 2 0 1 1 2 1 4 1 5 1 3 1 6 1
90,4,7 0 1 0 2 0 1 0 3 0 1 1 3 1 5 1 6 1
165,4,7 1 1 0 2 0 1 0 3 0 1 1 3 1 5 1 6 1
27,4,7 0 1 0 2 0 1 0 3 0 2 0 3 1 5 1 6 1
228,4,7 1 1 0 2 0 1 0 3 0 2 0 3 1 5 1 6 1
78,4,7 0 1 0 2 0 1 0 3 0 2 1 3 1 5 1 6 1
177,4,7 1 1 0 2 0 1 0 3 0 2 1 3 1 5 1 6 1
44,4,7 0 1 0 2 0 1 0 3 0 2 1 5 1 4 1 6 1
211,4,7 1 1 0 2 0 1 0 3 0 2 1 5 1 4 1 6 1
74,4,7 0 1 0 2 0 1 0 3 0 3 1 4 1 5 1 6 1
181,4,7 1 1 0 2 0 1 0 3 0 3 1 4 1 5 1 6 1
39,4,7 0 1 0 2 0 1 0 3 1 2 0 3 0 5 1 6 1
216,4,7 1 1 0 2 0 1 0 3 1 2 0 3 0 5 1 6 1
141,4,7 0 1 0 2 0 1 0 3 1 2 1 3 0 5 1 6 1
114,4,7 1 1 0 2 0 1 0 3 1 2 1 3 0 5 1 6 1
28,4,7 0 1 0 2 0 1 0 3 1 2 1 5 1 4 1 6 1
227,4,7 1 1 0 2 0 1 0 3 1 2 1 5 1 4 1 6 1
133,4,7 0 1 0 2 0 1 0 3 1 3 0 4 1 5 1 6 1
122,4,7 1 1 0 2 0 1 0 3 1 3 0 4 1 5 1 6 1
56,4,7 0 1 0 2 0 2 0 3 0 1 1 5 1 4 1 6 1
199,4,7 1 1 0 2 0 2 0 3 0 1 1 5 1 4 1 6 1
102,4,7 0 1 0 2 0 2 0 3 0 2 1 3 1 5 1 6 1
153,4,7 1 1 0 2 0 2 0 3 0 2 1 3 1 5 1 6 1
98,4,7 0 1 0 2 0 2 0 3 0 3 1 4 1 5 1 6 1
157,4,7 1 1 0 2 0 2 0 3 0 3 1 4 1 5 1 6 1
52,4,7 0 1 0 2 0 2 0 3 1 1 1 5 1 4 1 6 1
203,4,7 1 1 0 2 0 2 0 3 1 1 1 5 1 4 1 6 1
145,4,7 0 1 0 2 0 2 0 3 1 3 0 4 1 5 1 6 1
110,4,7 1 1 0 2 0 2 0 3 1 3 0 4 1 5 1 6 1
106,4,7 0 1 0 2 0 3 0 4 0 3 1 4 1 5 1 6 1
149,4,7 1 1 0 2 0 3 0 4 0 3 1 4 1 5 1 6 1
77,4,7 0 1 1 2 0 1 0 2 1 3 0 4 1 5 1 6 1
178,4,7 1 1 1 2 0 1 0 2 1 3 0 4 1 5 1 6 1
142,4,7 0 1 1 2 0 1 0 2 1 3 1 4 1 5 1 6 1
113,4,7 1 1 1 2 0 1 0 2 1 3 1 4 1 5 1 6 1
91,4,7 0 1 1 2 0 1 0 3 0 3 1 4 0 5 1 6 1
164,4,7 1 1 1 2 0 1 0 3 0 3 1 4 0 5 1 6 1
167,4,7 0 1 1 2 0 1 0 3 1 3 0 4 0 5 1 6 1
88,4,7 1 1 1 2 0 1 0 3 1 3 0 4 0 5 1 6 1
38,4,7 0 1 1 2 0 2 0 3 0 3 1 4 1 5 1 6 1
217,4,7 1 1 1 2 0 2 0 3 0 3 1 4 1 5 1 6 1
25,4,7 0 1 1 2 0 2 0 3 1 3 0 4 1 5 1 6 1
230,4,7 1 1 1 2 0 2 0 3 1 3 0 4 1 5 1 6 1
166,4,7 0 1 1 2 0 3 0 4 0 3 1 4 1 5 1 6 1
89,4,7 1 1 1 2 0 3 0 4 0 3 1 4 1 5 1 6 1
26,4,7 0 1 0 2 1 1 0 3 0 3 1 4 1 5 1 6 1
229,4,7 1 1 0 2 1 1 0 3 0 3 1 4 1 5 1 6 1
37,4,7 0 1 0 2 1 1 0 3 1 3 0 4 1 5 1 6 1
218,4,7 1 1 0 2 1 1 0 3 1 3 0 4 1 5 1 6 1
103,4,7 0 1 0 2 1 2 0 3 0 3 1 4 0 5 1 6 1
152,4,7 1 1 0 2 1 2 0 3 0 3 1 4 0 5 1 6 1
155,4,7 0 1 0 2 1 2 0 3 1 3 0 4 0 5 1 6 1
100,4,7 1 1 0 2 1 2 0 3 1 3 0 4 0 5 1 6 1
154,4,7 0 1 0 2 1 3 0 4 0 3 1 4 1 5 1 6 1
101,4,7 1 1 0 2 1 3 0 4 0 3 1 4 1 5 1 6 1
94,4,7 0 1 1 2 1 1 0 3 0 3 1 4 0 5 1 6 1
161,4,7 1 1 1 2 1 1 0 3 0 3 1 4 0 5 1 6 1
173,4,7 0 1 1 2 1 1 0 3 1 3 0 4 0 5 1 6 1
82,4,7 1 1 1 2 1 1 0 3 1 3 0 4 0 5 1 6 1
118,4,7 0 1 1 2 1 2 0 3 0 3 1 4 0 5 1 6 1
137,4,7 1 1 1 2 1 2 0 3 0 3 1 4 0 5 1 6 1
185,4,7 0 1 1 2 1 2 0 3 1 3 0 4 0 5 1 6 1
70,4,7 1 1 1 2 1 2 0 3 1 3 0 4 0 5 1 6 1
169,4,7 0 1 1 2 1 3 0 4 0 3 1 4 1 5 1 6 1
86,4,7 1 1 1 2 1 3 0 4 0 3 1 4 1 5 1 6 1
72,4,7 0 1 0 3 0 1 1 3 1 2 0 4 1 5 1 6 0
183,4,7 1 1 0 3 0 1 1 3 1 2 0 4 1 5 1 6 0
18,4,7 0 1 0 3 0 1 1 3 1 2 1 4 1 5 1 6 0
237,4,7 1 1 0 3 0 1 1 3 1 2 1 4 1 5 1 6 0
132,4,7 0 1 0 3 0 1 1 3 1 4 1 5 1 2 0 6 1
123,4,7 1 1 0 3 0 1 1 3 1 4 1 5 1 2 0 6 1
33,4,7 0 1 0 3 0 1 1 3 1 4 1 5 1 2 1 6 1
222,4,7 1 1 0 3 0 1 1 3 1 4 1 5 1 2 1 6 1
108,4,7 0 1 0 3 0 2 0 4 0 2 1 4 1 5 1 6 1
147,4,7 1 1 0 3 0 2 0 4 0 2 1 4 1 5 1 6 1
198,4,7 0 1 1 3 0 2 0 4 0 2 1 4 1 5 1 6 1
57,4,7 1 1 1 3 0 2 0 4 0 2 1 4 1 5 1 6 1
156,4,7 0 1 0 3 1 2 0 4 0 2 1 4 1 5 1 6 1
99,4,7 1 1 0 3 1 2 0 4 0 2 1 4 1 5 1 6 1
201,4,7 0 1 1 3 1 2 0 4 0 2 1 4 1 5 1 6 1
54,4,7 1 1 1 3 1 2 0 4 0 2 1 4 1 5 1 6 1
120,4,7 0 2 0 3 0 1 0 4 0 1 1 4 1 5 1 6 1
135,4,7 1 2 0 3 0 1 0 4 0 1 1 4 1 5 1 6 1
96,4,7 0 2 0 3 0 1 0 4 1 2 1 3 1 5 0 6 1
159,4,7 1 2 0 3 0 1 0 4 1 2 1 3 1 5 0 6 1
6,4,7 0 2 0 3 0 1 1 4 1 2 1 3 1 5 0 6 1
249,4,7 1 2 0 3 0 1 1 4 1 2 1 3 1 5 0 6 1
144,4,7 0 2 0 3 0 2 1 3 1 4 1 5 1 1 0 6 1
111,4,7 1 2 0 3 0 2 1 3 1 4 1 5 1 1 0 6 1
9,4,7 0 2 0 3 0 2 1 3 1 4 1 5 1 1 1 6 1
246,4,7 1 2 0 3 0 2 1 3 1 4 1 5 1 1 1 6 1
210,4,7 0 2 1 3 0 1 0 4 0 1 1 4 1 5 1 6 1
45,4,7 1 2 1 3 0 1 0 4 0 1 1 4 1 5 1 6 1
180,4,7 0 2 0 3 1 1 0 4 0 1 1 4 1 5 1 6 1
75,4,7 1 2 0 3 1 1 0 4 0 1 1 4 1 5 1 6 1
225,4,7 0 2 1 3 1 1 0 4 0 1 1 4 1 5 1 6 1
30,4,7 1 2 1 3 1 1 0 4 0 1 1 4 1 5 1 6 1
